PAYER,ORGANIZATION,IN_NETWORK
d47b3510-2895-3b70-9897-342d681c769d,16d99802-1091-3c8e-aa5c-11bba4042e65,true
d47b3510-2895-3b70-9897-342d681c769d,176a6fd8-69ff-3a50-88f3-90c7e88ef927,true
d47b3510-2895-3b70-9897-342d681c769d,18362426-1324-35e6-a226-adccb56a7a36,true
d47b3510-2895-3b70-9897-342d681c769d,1ae16480-11ce-35df-89ee-78947036c59c,true
d47b3510-2895-3b70-9897-342d681c769d,1c064e6a-e1a5-3124-b294-68ae3a9d6487,true
d47b3510-2895-3b70-9897-342d681c769d,1c9f06a8-38bb-3d07-99b2-176d626bc4c2,true
d47b3510-2895-3b70-9897-342d681c769d,1ca2afca-6817-3a22-81d7-70b3b1366183,true
d47b3510-2895-3b70-9897-342d681c769d,1d9793e4-b135-33d8-b90e-521cedb608cc,true
d47b3510-2895-3b70-9897-342d681c769d,1df56535-d4b3-3192-8c29-36f122fccab6,true
d47b3510-2895-3b70-9897-342d681c769d,1eaf97fa-9de6-38de-a9c4-6efe5dc574be,true
d47b3510-2895-3b70-9897-342d681c769d,1f6b6667-2104-3bba-a332-c119f6ffbb64,false
d47b3510-2895-3b70-9897-342d681c769d,1ff2e3aa-8234-3a06-a1f7-c622d7b2c1d8,true
d47b3510-2895-3b70-9897-342d681c769d,2075b030-1585-3772-8792-fa474af2c744,true
d47b3510-2895-3b70-9897-342d681c769d,21ed1061-d809-3fa9-a1bd-bd0b1a108a41,true
d47b3510-2895-3b70-9897-342d681c769d,226098a2-6a40-3588-b5bb-db56c3a30a04,true
d47b3510-2895-3b70-9897-342d681c769d,23834663-ed53-3da9-b330-d6e1ecb8428e,true
d47b3510-2895-3b70-9897-342d681c769d,2468bb56-3ceb-37c9-8140-14cbe3d36948,false
d47b3510-2895-3b70-9897-342d681c769d,24bcfc89-997e-3a62-a6c3-83ed31af8901,false
d47b3510-2895-3b70-9897-342d681c769d,24cb4eab-6166-3530-bddc-a5a8a14a4fc1,true
d47b3510-2895-3b70-9897-342d681c769d,261b14f5-39d7-37eb-a8b7-606014d8eff3,true
d47b3510-2895-3b70-9897-342d681c769d,26f1b65c-0efb-36a4-a07d-50e0346f30a4,true
d47b3510-2895-3b70-9897-342d681c769d,27379046-608b-32f0-9df7-8c833cf5d11d,false
d47b3510-2895-3b70-9897-342d681c769d,279b2a85-ab64-3dec-90df-fbca8b479db5,false
d47b3510-2895-3b70-9897-342d681c769d,28312252-e57e-34cb-8e45-6ce36187d68c,true
d47b3510-2895-3b70-9897-342d681c769d,290f8d1d-fc6b-38bd-90b3-3c15d56dd97a,true
d47b3510-2895-3b70-9897-342d681c769d,291a9036-ff68-348d-a693-537df0807a12,false
d47b3510-2895-3b70-9897-342d681c769d,297e845b-327b-32f5-a78d-5885ab951c05,true
d47b3510-2895-3b70-9897-342d681c769d,2c3e6615-030f-35a7-aeb4-f32bbb83af26,false
d47b3510-2895-3b70-9897-342d681c769d,2d3b6c1d-29f1-382e-9982-d4e5d9fc8c35,true
d47b3510-2895-3b70-9897-342d681c769d,309b9155-1832-3aa2-9bc2-e6047060c36c,true
d47b3510-2895-3b70-9897-342d681c769d,3265f387-6c51-32ee-8f6d-b2a89caa34d5,true
d47b3510-2895-3b70-9897-342d681c769d,33145183-be4b-3f49-809e-05a81cce7ecd,true
d47b3510-2895-3b70-9897-342d681c769d,34031633-e7ec-3962-8a45-e2a8f77dcc92,true
d47b3510-2895-3b70-9897-342d681c769d,3553d3a5-68c0-3da6-8aed-37f3bd7209c9,true
d47b3510-2895-3b70-9897-342d681c769d,364cf084-5db8-36da-9d70-34ff6d4218ec,true
d47b3510-2895-3b70-9897-342d681c769d,3785a91b-ef8c-3628-b673-5f9808b05616,true
d47b3510-2895-3b70-9897-342d681c769d,37b4d73f-652d-3033-a16e-d97b9e8b4cda,true
d47b3510-2895-3b70-9897-342d681c769d,37c0de84-bcaf-3624-82bf-a89b2ac441b8,true
d47b3510-2895-3b70-9897-342d681c769d,37c197b5-110f-339b-942e-272137f770b2,true
d47b3510-2895-3b70-9897-342d681c769d,37eb7694-de8f-3407-b95f-1a6a31fb0f6a,false
d47b3510-2895-3b70-9897-342d681c769d,395a9f52-1f2d-35cd-8cfe-35e2771f8921,false
d47b3510-2895-3b70-9897-342d681c769d,3b18fe70-e14e-354f-a948-bce4fbb4b2a7,true
d47b3510-2895-3b70-9897-342d681c769d,3b5067a8-36ad-367c-b73e-2b6220a5f290,true
d47b3510-2895-3b70-9897-342d681c769d,3bd5eda0-16da-3ba5-8500-4dfd6ae118b8,true
d47b3510-2895-3b70-9897-342d681c769d,3c8b233a-6c05-3357-b6e0-97306efcf971,true
d47b3510-2895-3b70-9897-342d681c769d,3d10019f-c88e-3de5-9916-6107b9c0263d,true
d47b3510-2895-3b70-9897-342d681c769d,3ed98587-8c4c-33b4-9cbe-ec7fc451d2b6,true
d47b3510-2895-3b70-9897-342d681c769d,3fa14d94-f5fe-31e2-8d63-df026c7b6a45,true
d47b3510-2895-3b70-9897-342d681c769d,3fbe3da9-8e41-3118-a253-7e2d1b46480f,true
d47b3510-2895-3b70-9897-342d681c769d,415bf5aa-ea38-3685-a13c-e68fcc89b344,true
d47b3510-2895-3b70-9897-342d681c769d,42a6d2c0-4c41-30de-b401-d24121341258,true
d47b3510-2895-3b70-9897-342d681c769d,43de7525-f2f9-39a9-b8ff-9cba4ef56988,true
d47b3510-2895-3b70-9897-342d681c769d,43e1c8ac-cce2-3e8d-8752-ce9045c435cb,false
d47b3510-2895-3b70-9897-342d681c769d,44a6ca33-dba9-3aa7-b75b-c7abf74930e9,true
d47b3510-2895-3b70-9897-342d681c769d,44bef9d3-91c2-3005-93e0-ccf436348ff0,true
d47b3510-2895-3b70-9897-342d681c769d,45fbe90d-10f7-39f4-9f84-2100c302faf9,true
d47b3510-2895-3b70-9897-342d681c769d,46084d3f-e6a2-37bc-b830-9b15674f7cae,true
d47b3510-2895-3b70-9897-342d681c769d,465de31f-3098-365c-af70-48a071e1f5aa,true
d47b3510-2895-3b70-9897-342d681c769d,479d8764-9f18-300e-8695-57c43e37cf4a,false
d47b3510-2895-3b70-9897-342d681c769d,4861d01f-019c-3dac-a153-8334e50919f9,true
d47b3510-2895-3b70-9897-342d681c769d,48bc3aff-5ff4-3ec6-b7e5-5a5b36680331,true
d47b3510-2895-3b70-9897-342d681c769d,49318f80-bd8b-3fc7-a096-ac43088b0c12,true
d47b3510-2895-3b70-9897-342d681c769d,49bf5812-29f3-32c7-88de-329eb3864885,true
d47b3510-2895-3b70-9897-342d681c769d,4a1c5788-d5c9-3306-a691-d5ab7725c49d,true
d47b3510-2895-3b70-9897-342d681c769d,4accc89c-6cb0-3c68-b985-eeae348786d4,false
d47b3510-2895-3b70-9897-342d681c769d,4b562cab-70a7-3a46-bb2c-a1d4b85fdba6,true
d47b3510-2895-3b70-9897-342d681c769d,4bac2e3e-0bdd-3916-b5a8-f175fa5c80d1,true
d47b3510-2895-3b70-9897-342d681c769d,4bdaa4c2-c664-3089-aee2-7137abbad27f,false
d47b3510-2895-3b70-9897-342d681c769d,4ca1bde9-84f1-320d-86dc-39bf90ecdd19,false
d47b3510-2895-3b70-9897-342d681c769d,4e383e1d-1060-3747-a4f0-d639980ff360,true
d47b3510-2895-3b70-9897-342d681c769d,4e916854-3a59-3f17-bb16-7c406148d822,true
d47b3510-2895-3b70-9897-342d681c769d,4f3a530e-a2f7-3de0-9a09-c0a70a9ab894,true
d47b3510-2895-3b70-9897-342d681c769d,5103c940-0c08-392f-95cd-446e0cea042a,false
d47b3510-2895-3b70-9897-342d681c769d,518271fa-2372-3b99-9b3f-a9ccc3cfc33b,false
d47b3510-2895-3b70-9897-342d681c769d,5259a506-b80b-3ed5-9c30-83188eabf33e,true
d47b3510-2895-3b70-9897-342d681c769d,52a30b57-1660-3c8c-9f4d-5a38305ee506,true
d47b3510-2895-3b70-9897-342d681c769d,5342f6b7-4ddb-3ca5-a12d-e4f4516a74af,true
d47b3510-2895-3b70-9897-342d681c769d,53b25c4b-e95f-3dd1-8e69-d427cdd83631,true
d47b3510-2895-3b70-9897-342d681c769d,5445cc47-4b0f-37a6-9223-418b20a0693f,true
d47b3510-2895-3b70-9897-342d681c769d,5465c26c-010a-31f6-b4e1-6cf2657fc6bc,false
d47b3510-2895-3b70-9897-342d681c769d,580414e6-7ed5-36e1-8705-1c9cf627a28e,true
d47b3510-2895-3b70-9897-342d681c769d,5844ad77-f653-3c2b-b7dd-e97576ab3b03,true
d47b3510-2895-3b70-9897-342d681c769d,588e03bd-91bc-3442-be9e-66c18ba36c0c,true
d47b3510-2895-3b70-9897-342d681c769d,58fa71de-2295-33b8-8932-176a72078898,true
d47b3510-2895-3b70-9897-342d681c769d,592c7848-5619-3d11-b158-488fb330ee00,true
d47b3510-2895-3b70-9897-342d681c769d,5bba1a73-d276-3664-81ca-d6057b5b19e5,true
d47b3510-2895-3b70-9897-342d681c769d,5c028435-0cca-3c7b-b497-42878304f48e,true
d47b3510-2895-3b70-9897-342d681c769d,5d4b9df1-93ae-3bc9-b680-03249990e558,true
d47b3510-2895-3b70-9897-342d681c769d,5db9c918-9e4d-38bb-a94c-2c031fcb6fb0,false
d47b3510-2895-3b70-9897-342d681c769d,5e765f2b-e908-3888-9fc7-df2cb87beb58,true
d47b3510-2895-3b70-9897-342d681c769d,5f0a1caa-7e67-3777-babb-c06f9cb1b118,true
d47b3510-2895-3b70-9897-342d681c769d,5f5140f3-df3b-3af2-bc42-a671fc6a5a28,true
d47b3510-2895-3b70-9897-342d681c769d,6040b2da-71a1-3d12-a777-427cbb929931,false
d47b3510-2895-3b70-9897-342d681c769d,60457c13-adb2-3415-82c5-86ab5dab5f93,true
d47b3510-2895-3b70-9897-342d681c769d,6103d742-31b1-3e24-9552-034b3b85ae3d,false
d47b3510-2895-3b70-9897-342d681c769d,61375750-0356-3ece-8d48-fe388c5ee18f,true
d47b3510-2895-3b70-9897-342d681c769d,616aa60c-0364-3315-ae16-7133ae5181bd,false
d47b3510-2895-3b70-9897-342d681c769d,61b5df88-742c-3ed7-aa4e-c681665bf99a,false
d47b3510-2895-3b70-9897-342d681c769d,62fa9127-485f-3032-87cc-6576d91fec94,true
d47b3510-2895-3b70-9897-342d681c769d,64a9eaf6-3eef-3149-988c-3436d918d805,true
d47b3510-2895-3b70-9897-342d681c769d,65a74939-6441-32c0-bd3e-00b951c968e1,false
d47b3510-2895-3b70-9897-342d681c769d,66e57e95-78f4-38b9-bd2e-20fadbc2e34a,true
d47b3510-2895-3b70-9897-342d681c769d,686f49cf-d7d6-3368-b554-9483b0f9f1cf,true
d47b3510-2895-3b70-9897-342d681c769d,69176529-fd1f-3b3f-abce-a0a3626769eb,true
d47b3510-2895-3b70-9897-342d681c769d,6ade82be-b7cc-34f6-b992-de16d4c1f9dc,true
d47b3510-2895-3b70-9897-342d681c769d,6b917120-a4d4-36f1-896b-0929f9bf5d77,true
d47b3510-2895-3b70-9897-342d681c769d,6be05ccf-ef94-341f-a2a3-1cf9bfde1b18,true
d47b3510-2895-3b70-9897-342d681c769d,6e62e63b-c39a-3211-99d8-8b8f0f06774e,true
d47b3510-2895-3b70-9897-342d681c769d,6f122869-a856-3d65-8db9-099bf4f5bbb8,true
d47b3510-2895-3b70-9897-342d681c769d,6f30e0bc-bef3-33e0-a1f3-400d919f7c59,true
d47b3510-2895-3b70-9897-342d681c769d,6f72fdcc-46a5-330a-b956-d915dd5cbc0a,true
d47b3510-2895-3b70-9897-342d681c769d,6ffe62de-5d90-3cc7-be16-643a7496c817,true
d47b3510-2895-3b70-9897-342d681c769d,700056a6-3aea-3efd-8423-a9acbd38a5ea,true
d47b3510-2895-3b70-9897-342d681c769d,7116c200-6663-3503-8314-1ee16845e5d3,true
d47b3510-2895-3b70-9897-342d681c769d,72a10c1a-ee7c-3a01-97b1-33f63244c13e,true
d47b3510-2895-3b70-9897-342d681c769d,73fa0d4b-31c1-3c12-af7f-39065b59ba5f,false
d47b3510-2895-3b70-9897-342d681c769d,74086554-9256-3f1f-9bfb-ef7237391d25,true
d47b3510-2895-3b70-9897-342d681c769d,740b5dfb-075d-3b29-8052-55d810031939,true
d47b3510-2895-3b70-9897-342d681c769d,7421405c-6f9c-3a00-b83d-018d05c56918,true
d47b3510-2895-3b70-9897-342d681c769d,74e00d14-2bbf-3cf3-ae7a-71077abf5f3c,false
d47b3510-2895-3b70-9897-342d681c769d,75bc27b3-2841-3c4f-9069-13bed81bfa6c,true
d47b3510-2895-3b70-9897-342d681c769d,7638b2b1-dbae-3cf5-bd72-676b736b7c87,true
d47b3510-2895-3b70-9897-342d681c769d,76a80350-916e-3fc9-8fed-2c8c4b36c42f,true
d47b3510-2895-3b70-9897-342d681c769d,7828e5ea-1d0c-3cb2-a168-cbca730c12ee,true
d47b3510-2895-3b70-9897-342d681c769d,7834877b-2072-3d79-9137-d5ee86c7503f,true
d47b3510-2895-3b70-9897-342d681c769d,7a146a36-8ec0-3452-b486-0b6894af0458,false
d47b3510-2895-3b70-9897-342d681c769d,7af15bd8-12c4-397b-8018-a1dd2c1085a7,true
d47b3510-2895-3b70-9897-342d681c769d,7b1ba895-0a48-303f-981d-f41766fcaacc,true
d47b3510-2895-3b70-9897-342d681c769d,7b76c6b3-c413-3293-914a-fcf8195f32bc,true
d47b3510-2895-3b70-9897-342d681c769d,7c29cf46-3da7-39b3-906c-44efe4ba3c97,false
d47b3510-2895-3b70-9897-342d681c769d,7ce4229c-f2de-3004-8983-02dc9bf2f990,true
d47b3510-2895-3b70-9897-342d681c769d,7d499cd2-65d6-3885-9ce4-95ea11b51d8f,true
d47b3510-2895-3b70-9897-342d681c769d,7dbf8d9d-fc47-39df-9e54-649d6eb4f8d3,true
d47b3510-2895-3b70-9897-342d681c769d,7dcb5cb6-5c36-3c80-9e8c-eca5319ee530,true
d47b3510-2895-3b70-9897-342d681c769d,7fb56531-86bd-3e4a-8619-4df9942da309,true
d47b3510-2895-3b70-9897-342d681c769d,7fb56fd2-71ad-336a-9204-57765bd1e5d4,true
d47b3510-2895-3b70-9897-342d681c769d,7fee7d3e-4b7d-3238-86f1-96700562897c,true
d47b3510-2895-3b70-9897-342d681c769d,7ffe74ac-786d-3c6d-bcb9-323352f6149c,false
d47b3510-2895-3b70-9897-342d681c769d,80e919cc-df1a-3838-b75e-541564a286e5,true
d47b3510-2895-3b70-9897-342d681c769d,819a27bd-81d7-3aec-b990-e79062cd0fd0,true
d47b3510-2895-3b70-9897-342d681c769d,819ad437-19fa-36e7-86f3-54cacd35989d,true
d47b3510-2895-3b70-9897-342d681c769d,822a6b9f-da15-3cc4-8436-ab61474f19fd,true
d47b3510-2895-3b70-9897-342d681c769d,82ee9d10-54f5-32aa-803a-1c6f80f4d74c,false
d47b3510-2895-3b70-9897-342d681c769d,8383a576-10a5-37f6-9707-3c88bf1c9b9a,true
d47b3510-2895-3b70-9897-342d681c769d,866f38cd-af49-36c2-a073-ee031c7609cd,true
d47b3510-2895-3b70-9897-342d681c769d,86f868e9-3325-3019-98d9-34ca2dc11f20,true
d47b3510-2895-3b70-9897-342d681c769d,88b48efa-fd39-3f7a-a554-3d2c84465f71,true
d47b3510-2895-3b70-9897-342d681c769d,8ad64ecf-c817-3753-bee7-006a8e662e06,true
d47b3510-2895-3b70-9897-342d681c769d,8b372f3b-8269-325b-99c1-b7e8b581ae34,true
d47b3510-2895-3b70-9897-342d681c769d,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,true
d47b3510-2895-3b70-9897-342d681c769d,8b607111-30ff-3014-bf43-3a9d61993538,true
d47b3510-2895-3b70-9897-342d681c769d,8e023628-af4e-328c-9647-9074c707396c,true
d47b3510-2895-3b70-9897-342d681c769d,8e65bfae-f627-32e8-bce0-b44f7130befe,true
d47b3510-2895-3b70-9897-342d681c769d,8e7be35d-c07f-300c-bd19-ffd1933e3e8f,false
d47b3510-2895-3b70-9897-342d681c769d,8f8511a3-705e-341a-b7b8-b536f9fb376f,true
d47b3510-2895-3b70-9897-342d681c769d,8fbdc477-d05c-3d67-96f1-4fbf1b08102d,true
d47b3510-2895-3b70-9897-342d681c769d,90cf148c-69ed-3d33-aa86-b509c6b0b25f,true
d47b3510-2895-3b70-9897-342d681c769d,91889eee-22a8-3d9a-8e1d-3e55784a21f0,true
d47b3510-2895-3b70-9897-342d681c769d,934f4ea8-157d-3c1e-806b-7f8a9ec92a84,true
d47b3510-2895-3b70-9897-342d681c769d,938dc1e4-347e-3b82-aef0-be7475ce9658,false
d47b3510-2895-3b70-9897-342d681c769d,956ccb85-bea0-30f9-af48-52f5dd95ff72,true
d47b3510-2895-3b70-9897-342d681c769d,95ada8d8-9f38-3030-9e12-61acb7632fa5,true
d47b3510-2895-3b70-9897-342d681c769d,9643bcaf-1f4d-3b2f-b0ff-b5d0cc319a47,true
d47b3510-2895-3b70-9897-342d681c769d,9869c919-f57b-3661-a2a0-66448f9c2db1,false
d47b3510-2895-3b70-9897-342d681c769d,9873b0a6-2104-34f2-a2ec-924223ef0ae5,true
d47b3510-2895-3b70-9897-342d681c769d,9a7149fa-49fc-3c87-b935-d29c55808717,true
d47b3510-2895-3b70-9897-342d681c769d,9b1f70d0-e48a-3bb5-8900-6580a13d5596,false
d47b3510-2895-3b70-9897-342d681c769d,9b437641-29ee-37a9-99ed-cb224f28bc09,true
d47b3510-2895-3b70-9897-342d681c769d,9b5f23f1-c387-3a77-9359-752d26d7f997,true
d47b3510-2895-3b70-9897-342d681c769d,9be53aec-ec1e-3681-bdc9-6fe0c25ec904,true
d47b3510-2895-3b70-9897-342d681c769d,9d4bbb88-396c-33ad-ab6a-d2592eac9c74,true
d47b3510-2895-3b70-9897-342d681c769d,a0a14713-50c4-3818-b0cb-8c2047f1458c,false
d47b3510-2895-3b70-9897-342d681c769d,a0b6ec0c-e587-3b2a-bf9f-248849f29ee5,true
d47b3510-2895-3b70-9897-342d681c769d,a13937fa-4125-320b-9086-32e8660581cf,true
d47b3510-2895-3b70-9897-342d681c769d,a169e166-6db0-3ae6-93ac-bfcba0271b9d,true
d47b3510-2895-3b70-9897-342d681c769d,a1bedf73-1a07-3f12-b93d-1c0aff4fdb8e,true
d47b3510-2895-3b70-9897-342d681c769d,a1ef6330-7fb0-33e8-9622-01506abb1490,false
d47b3510-2895-3b70-9897-342d681c769d,a369fdd9-db24-3a43-9c8b-9b1679b55fc5,true
d47b3510-2895-3b70-9897-342d681c769d,a43fb751-96fe-3496-8750-73f85651866d,true
d47b3510-2895-3b70-9897-342d681c769d,a441cbca-6d65-33ff-980c-d8e58235b7e5,false
d47b3510-2895-3b70-9897-342d681c769d,a44b37da-aa9b-37f0-993e-26e58974e086,false
d47b3510-2895-3b70-9897-342d681c769d,a5207d31-ad44-3807-9b19-03da35e04294,true
d47b3510-2895-3b70-9897-342d681c769d,a76bda1d-f42d-3046-b8c6-021f3db0a086,true
d47b3510-2895-3b70-9897-342d681c769d,a871f568-0425-3a90-aaff-67f2235b788d,true
d47b3510-2895-3b70-9897-342d681c769d,a95684bd-b222-3e5e-8d18-805e5ae45705,true
d47b3510-2895-3b70-9897-342d681c769d,a9afd4c9-8443-3b5a-a486-07c3bb109b3f,true
d47b3510-2895-3b70-9897-342d681c769d,a9f20dc1-5147-3789-bcef-bbecb41c5983,true
d47b3510-2895-3b70-9897-342d681c769d,aae540b1-016c-3d53-83c1-c66be3aa906a,true
d47b3510-2895-3b70-9897-342d681c769d,aafc7529-1a22-32ec-a06d-a6c6163c766e,true
d47b3510-2895-3b70-9897-342d681c769d,ac8356a5-78f8-3a63-8a1e-59e832fd54e7,true
d47b3510-2895-3b70-9897-342d681c769d,ad3a23c5-ee9b-361d-96ee-244364c9b63a,true
d47b3510-2895-3b70-9897-342d681c769d,afab4f90-7459-32ee-b0e2-8098e831667d,true
d47b3510-2895-3b70-9897-342d681c769d,b03dba4f-892f-365c-bfd1-bfcfa7a98d5d,true
d47b3510-2895-3b70-9897-342d681c769d,b06770b5-b695-3c1a-9685-ae2223966ff7,true
d47b3510-2895-3b70-9897-342d681c769d,b0e04623-b02c-3f8b-92ea-943fc4db60da,true
d47b3510-2895-3b70-9897-342d681c769d,b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,true
d47b3510-2895-3b70-9897-342d681c769d,b3e30964-03f2-3136-8347-255d16f65d93,true
d47b3510-2895-3b70-9897-342d681c769d,b60f8daf-0362-3c28-9b54-216e7f3e80bd,false
d47b3510-2895-3b70-9897-342d681c769d,b6164b13-8df9-31e0-8412-f25d8860e21f,true
d47b3510-2895-3b70-9897-342d681c769d,b7175ab4-bde5-3848-891b-579bccb77c7c,true
d47b3510-2895-3b70-9897-342d681c769d,b81688f5-bd0e-3c99-963f-860d3e90ab5d,true
d47b3510-2895-3b70-9897-342d681c769d,b9b400f9-1c95-3d0e-b6e4-15d5d33304f9,false
d47b3510-2895-3b70-9897-342d681c769d,ba10ae09-f51a-31ed-a6ef-44562023c214,true
d47b3510-2895-3b70-9897-342d681c769d,bb631f07-f921-3465-b3ad-521ac8cab13b,true
d47b3510-2895-3b70-9897-342d681c769d,bcb26f1b-a37d-37dd-8819-c5dd6b6d9f74,true
d47b3510-2895-3b70-9897-342d681c769d,bcd7d210-e670-3064-8284-69db0a20211a,true
d47b3510-2895-3b70-9897-342d681c769d,be4c63f3-8d38-3fa9-a183-62045b5c85f6,true
d47b3510-2895-3b70-9897-342d681c769d,bf0bb03e-69c9-30f8-ae56-14913d5a71c5,true
d47b3510-2895-3b70-9897-342d681c769d,bfc71898-9ad0-3959-828d-fa8d2e8f296f,true
d47b3510-2895-3b70-9897-342d681c769d,c0aa05be-e636-316f-80d7-8b0b5d2eb194,true
d47b3510-2895-3b70-9897-342d681c769d,c2128582-91b3-31c0-8ddd-988d43cbc166,true
d47b3510-2895-3b70-9897-342d681c769d,c3345b16-4ce8-34df-a73f-b548d6012d99,true
d47b3510-2895-3b70-9897-342d681c769d,c44f361c-2efb-3050-8f97-0354a12e2920,true
d47b3510-2895-3b70-9897-342d681c769d,c63d0602-724d-3d74-958a-a31b1364eaef,false
d47b3510-2895-3b70-9897-342d681c769d,c70f789a-e244-3048-bbb7-c786d3f5de9b,false
d47b3510-2895-3b70-9897-342d681c769d,c7459800-e42b-3144-a934-59585c9eacff,false
d47b3510-2895-3b70-9897-342d681c769d,c8b25caa-eaf0-3f1a-a2b8-b2daa526618a,false
d47b3510-2895-3b70-9897-342d681c769d,ca960833-41ab-3cab-b1f0-192cf26727d1,false
d47b3510-2895-3b70-9897-342d681c769d,cb6a50e0-af76-3758-99ad-3200ede03fff,true
d47b3510-2895-3b70-9897-342d681c769d,cbbee84d-7644-3b24-9f41-e3747f5050df,true
d47b3510-2895-3b70-9897-342d681c769d,cc648e4d-ae3a-3933-930e-f1f34189eb97,true
d47b3510-2895-3b70-9897-342d681c769d,cca33ef5-6b78-3960-9c74-43f6ba7b89ae,false
d47b3510-2895-3b70-9897-342d681c769d,ccdd9f7d-8010-38ae-9607-a951a6f2084e,true
d47b3510-2895-3b70-9897-342d681c769d,ccfa9a1e-d003-3997-acd1-6f4b1c79b83c,false
d47b3510-2895-3b70-9897-342d681c769d,d0b017aa-7bb3-3681-b0e4-f6031796f837,true
d47b3510-2895-3b70-9897-342d681c769d,d11326fd-9ee8-321f-a9d6-382f526d2b94,true
d47b3510-2895-3b70-9897-342d681c769d,d224247d-6fc0-395e-9bd2-b4c325d55b5d,true
d47b3510-2895-3b70-9897-342d681c769d,d311e70d-86e7-3c03-b115-53892bcf7ef1,false
d47b3510-2895-3b70-9897-342d681c769d,d32d8049-07fd-3692-9c16-1915fd26afad,true
d47b3510-2895-3b70-9897-342d681c769d,d5117822-5756-389d-9547-891a372d580f,true
d47b3510-2895-3b70-9897-342d681c769d,d588c607-ff8f-35a8-ae27-c5852ea362c6,true
d47b3510-2895-3b70-9897-342d681c769d,d672f853-e2a5-324e-98fa-c6d5f8dfc255,true
d47b3510-2895-3b70-9897-342d681c769d,d692e283-0833-3201-8e55-4f868a9c0736,true
d47b3510-2895-3b70-9897-342d681c769d,d6c83c6a-f78f-3e23-a2f4-444f9519d576,false
d47b3510-2895-3b70-9897-342d681c769d,d71ace90-0787-39a4-a884-6b23118a7f11,true
d47b3510-2895-3b70-9897-342d681c769d,d733d4a9-080d-3593-b910-2366e652b7ea,true
d47b3510-2895-3b70-9897-342d681c769d,d78e84ec-30aa-3bba-a33a-f29a3a454662,true
d47b3510-2895-3b70-9897-342d681c769d,d7b11827-25f2-350b-bcd8-939fc59851b0,true
d47b3510-2895-3b70-9897-342d681c769d,d94c9186-7bed-3d24-88a2-d5bc92d92737,false
d47b3510-2895-3b70-9897-342d681c769d,d97185b2-da0a-31aa-b017-22305331d699,true
